Epochs,Loss,Accuracy,Time,Time per step,Val_loss,Val_accuracy
1,1.8749,0.4247,3653,7,1.4192,0.5443
2,1.4068,0.5596,2224,4,1.1777,0.6197
3,1.1336,0.6405,1038,2,0.9601,0.6954
4,0.9401,0.6983,3196,6,0.7954,0.7397
5,0.7999,0.7409,2178,4,0.687,0.7753
6,0.7087,0.7706,969,2,0.665,0.7802
7,0.6501,0.788,1970,4,0.5813,0.8105
8,0.5783,0.8125,1714,3,0.5991,0.8101
9,0.5505,0.8223,990,2,0.5214,0.832
10,0.4991,0.8393,974,2,0.4963,0.834
11,0.467,0.8484,972,2,0.4302,0.8608
12,0.4313,0.8586,967,2,0.4484,0.8552
13,0.4082,0.867,2817,5,0.3504,0.8857
14,0.4123,0.8652,967,2,0.3591,0.8812
15,0.3783,0.8771,2061,4,0.3486,0.8875
16,0.3666,0.8818,1007,2,0.3584,0.8838
17,0.5031,0.851,972,2,0.3443,0.8923
18,0.3384,0.8907,973,2,0.3249,0.896
19,0.3226,0.8956,967,2,0.363,0.8831
20,0.3217,0.8956,982,2,0.3598,0.8861
21,0.3095,0.8978,2369,4,0.3547,0.8924
22,0.3101,0.8991,1190,2,0.3419,0.8957
23,0.2986,0.9031,999,2,0.308,0.9021
24,0.2867,0.9074,970,2,0.2958,0.9042
25,0.2843,0.9095,1957,4,0.2885,0.9084
